Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,1,1,0,0
2020-01-26,3,4,0,0
2020-01-27,0,4,0,0
2020-01-28,1,5,0,0
2020-01-29,0,5,0,0
2020-01-30,2,7,0,0
2020-01-31,2,9,0,0
2020-02-01,0,9,0,0
2020-02-02,3,12,0,0
2020-02-03,0,12,0,0
2020-02-04,0,12,0,0
2020-02-05,1,13,0,0
2020-02-06,1,14,0,0
2020-02-07,1,15,0,0
2020-02-08,0,15,0,0
2020-02-09,0,15,0,0
2020-02-10,0,15,0,0
2020-02-11,0,15,0,0
2020-02-12,0,15,0,0
2020-02-13,0,15,0,0
2020-02-14,0,15,0,0
2020-02-15,0,15,0,0
2020-02-16,0,15,0,0
2020-02-17,0,15,0,0
2020-02-18,0,15,0,0
2020-02-19,0,15,0,0
2020-02-20,0,15,0,0
2020-02-21,0,15,0,0
2020-02-22,6,21,0,0
2020-02-23,1,22,0,0
2020-02-24,0,22,0,0
2020-02-25,0,22,0,0
2020-02-26,1,23,0,0
2020-02-27,0,23,0,0
2020-02-28,0,23,0,0
2020-02-29,2,25,0,0
2020-03-01,0,25,1,1
2020-03-02,4,29,0,1
2020-03-03,0,29,0,1
2020-03-04,4,33,1,2
2020-03-05,10,43,0,2
2020-03-06,14,57,0,2
2020-03-07,6,63,0,2
2020-03-08,7,70,1,3
2020-03-09,7,77,0,3
2020-03-10,15,92,0,3
2020-03-11,8,100,0,3
2020-03-12,22,122,0,3
2020-03-13,18,140,0,3
2020-03-14,57,197,0,3
2020-03-15,52,249,0,3
2020-03-16,49,298,0,3
2020-03-17,38,336,2,5
2020-03-18,78,414,1,6
2020-03-19,151,565,0,6
2020-03-20,126,691,1,7
2020-03-21,182,873,0,7
2020-03-22,208,1081,0,7
2020-03-23,315,1396,0,7
2020-03-24,313,1709,0,7
2020-03-25,543,2252,1,8
2020-03-26,171,2423,0,8
2020-03-27,562,2985,5,13
2020-03-28,393,3378,0,13
2020-03-29,431,3809,1,14
2020-03-30,284,4093,2,16
2020-03-31,266,4359,2,18
2020-04-01,348,4707,2,20
2020-04-02,269,4976,1,21
2020-04-03,248,5224,2,23
2020-04-04,230,5454,5,28
2020-04-05,181,5635,6,34
2020-04-06,109,5744,0,34
2020-04-07,100,5844,8,42
2020-04-08,112,5956,3,45
2020-04-09,96,6052,5,50
2020-04-10,100,6152,2,52
2020-04-11,86,6238,2,54
2020-04-12,51,6289,3,57
2020-04-13,33,6322,4,61
2020-04-14,44,6366,0,61
2020-04-15,50,6416,0,61
2020-04-16,42,6458,2,63
2020-04-17,10,6468,0,63
2020-04-18,65,6533,4,67
2020-04-19,53,6586,2,69
2020-04-20,26,6612,1,70
2020-04-21,13,6625,1,71
2020-04-22,22,6647,3,74
2020-04-23,7,6654,0,74
2020-04-24,13,6667,2,76
2020-04-25,20,6687,3,79
2020-04-26,16,6703,2,81
2020-04-27,10,6713,2,83
2020-04-28,12,6725,1,84
2020-04-29,13,6738,4,88
2020-04-30,8,6746,2,90
2020-05-01,16,6762,2,92
2020-05-02,5,6767,1,93
2020-05-03,16,6783,0,93
2020-05-04,18,6801,2,95
2020-05-05,24,6825,0,95
2020-05-06,24,6849,1,96
2020-05-07,26,6875,1,97
2020-05-08,21,6896,0,97
2020-05-09,18,6914,0,97
2020-05-10,15,6929,0,97
2020-05-11,12,6941,0,97
2020-05-12,7,6948,0,97
2020-05-13,16,6964,0,97
2020-05-14,11,6975,1,98
2020-05-15,14,6989,0,98
2020-05-16,30,7019,0,98
2020-05-17,17,7036,0,98
2020-05-18,9,7045,0,98
2020-05-19,15,7060,1,99
2020-05-20,8,7068,0,99
2020-05-21,11,7079,1,100
2020-05-22,2,7081,0,100
2020-05-23,14,7095,1,101
2020-05-24,11,7106,1,102
2020-05-25,3,7109,0,102
2020-05-26,9,7118,0,102
2020-05-27,15,7133,0,102
2020-05-28,6,7139,0,102
2020-05-29,11,7150,0,102
2020-05-30,23,7173,0,102
2020-05-31,12,7185,0,102
2020-06-01,10,7195,0,102
2020-06-02,9,7204,0,102
