date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,964.0,628.0,-70.0,652.0,423.0,5.0
2020-02-16,0.0,573.0,1232.0,1021.0,233.0,-131.0,8.0
2020-02-17,0.0,-671.0,304.0,-1045.0,1681.0,4150.0,-327.0
2020-02-18,0.0,-890.0,-384.0,-2164.0,1169.0,3414.0,-227.0
2020-02-19,0.0,-471.0,66.0,-1403.0,1287.0,3311.0,-244.0
2020-02-20,0.0,-142.0,177.0,793.0,1674.0,3355.0,-341.0
2020-02-21,0.0,286.0,373.0,543.0,1927.0,3908.0,-485.0
2020-02-22,0.0,1054.0,593.0,2509.0,1394.0,520.0,-79.0
2020-02-23,0.0,680.0,1114.0,1213.0,682.0,-210.0,-21.0
2020-02-24,0.0,-703.0,424.0,-1676.0,1774.0,4202.0,-274.0
2020-02-25,0.0,-736.0,-189.0,-1204.0,1747.0,3682.0,-270.0
2020-02-26,0.0,-564.0,153.0,-1265.0,1614.0,3474.0,-232.0
2020-02-27,0.0,-293.0,316.0,-433.0,1805.0,3502.0,-268.0
2020-02-28,0.0,472.0,884.0,485.0,2173.0,4145.0,-473.0
2020-02-29,0.0,1149.0,845.0,3439.0,1574.0,618.0,-104.0
2020-03-01,0.0,781.0,1486.0,2825.0,922.0,-110.0,-37.0
2020-03-02,0.0,-740.0,1108.0,-349.0,937.0,1497.0,-135.0
2020-03-03,0.0,-660.0,1583.0,-2049.0,1710.0,3752.0,-267.0
2020-03-04,0.0,-302.0,2783.0,-2726.0,1243.0,3556.0,-165.0
2020-03-05,0.0,-504.0,1968.0,-3707.0,1305.0,3358.0,-74.0
2020-03-06,0.0,420.0,2426.0,-571.0,1657.0,3977.0,-390.0
2020-03-07,0.0,1039.0,1891.0,2266.0,536.0,389.0,-1.0
2020-03-08,0.0,845.0,1340.0,1999.0,-47.0,-253.0,-24.0
