,date_time_for_mobility,average_mobility_7
0,2020-02-21,1231.857142857143
1,2020-02-28,1598.4285714285713
2,2020-03-06,1335.4285714285713
3,2020-03-13,700.5714285714286
4,2020-03-20,-1533.857142857143
5,2020-03-27,-5825.571428571428
6,2020-04-03,-8372.714285714286
7,2020-04-10,-9110.57142857143
8,2020-04-17,-9049.857142857143
9,2020-04-24,-8313.285714285714
10,2020-05-01,-8190.0
11,2020-05-08,-7351.142857142857
12,2020-05-15,-6613.428571428572
13,2020-05-22,-6348.857142857143
14,2020-05-29,-5959.0
15,2020-06-05,-5398.428571428572
16,2020-06-12,-5269.714285714285
17,2020-06-19,-4842.0
18,2020-06-26,-4689.285714285715
19,2020-07-03,-4662.857142857143
20,2020-07-10,-4870.571428571428
21,2020-07-17,-5293.571428571428
22,2020-07-24,-5005.142857142857
23,2020-07-31,-5253.571428571428
24,2020-08-07,-5414.428571428572
25,2020-08-14,-6042.285714285715
26,2020-08-21,-3843.5714285714284
27,2020-08-28,-2944.285714285714
28,2020-09-04,-2842.4285714285716
29,2020-09-11,-3117.4285714285716
30,2020-09-18,-5040.857142857143
31,2020-09-25,-5470.857142857143
32,2020-10-02,-5784.142857142857
33,2020-10-09,-5644.0
34,2020-10-16,-5089.0
35,2020-10-23,-5064.285714285715
36,2020-10-30,-5199.714285714285
37,2020-11-06,-5206.142857142857
38,2020-11-13,-5005.0
39,2020-11-20,-5095.285714285715
40,2020-11-27,-4816.714285714285
41,2020-12-04,-4463.142857142857
42,2020-12-11,-4326.428571428572
43,2020-12-18,-4309.142857142857
44,2020-12-25,-5600.0
45,2021-01-01,-7003.428571428572
46,2021-01-08,-6464.714285714285
47,2021-01-15,-6119.0
48,2021-01-22,-5620.857142857143
49,2021-01-29,-6004.0
50,2021-02-05,-5913.714285714285
51,2021-02-12,-5192.857142857143
52,2021-02-19,-5828.285714285715
53,2021-02-26,-4409.714285714285
54,2021-03-05,-4209.0
55,2021-03-12,-4063.285714285714
56,2021-03-19,-3957.5714285714284
57,2021-03-26,-4363.142857142857
58,2021-04-02,-4309.857142857143
59,2021-04-09,-4912.857142857143
60,2021-04-16,-4060.285714285714
61,2021-04-23,-3408.4285714285716
62,2021-04-30,-4083.714285714286
63,2021-05-07,-3652.714285714286
64,2021-05-14,-3290.5714285714284
65,2021-05-21,-3371.0
66,2021-05-28,-4409.571428571428
67,2021-06-04,-5963.0
68,2021-06-11,-6018.714285714285
69,2021-06-18,-5429.714285714285
70,2021-06-25,-5557.857142857143
71,2021-07-02,-7875.714285714285
72,2021-07-09,-7615.0
73,2021-07-16,-7200.142857142857
74,2021-07-23,-8624.57142857143
75,2021-07-30,-8263.285714285714
76,2021-08-06,-7810.714285714285
77,2021-08-13,-8440.714285714286
78,2021-08-20,-8211.857142857143
79,2021-08-27,-8475.57142857143
80,2021-09-03,-8321.857142857143
81,2021-09-10,-8117.428571428572
82,2021-09-17,-8071.428571428572
83,2021-09-24,-8192.285714285714
84,2021-10-01,-8434.857142857143
85,2021-10-08,-8264.285714285714
86,2021-10-15,-7736.714285714285
87,2021-10-22,-7188.714285714285
88,2021-10-29,-6690.714285714285
89,2021-11-05,-6176.857142857143
90,2021-11-12,-6274.285714285715
91,2021-11-19,-5970.714285714285
92,2021-11-26,-5994.285714285715
93,2021-12-03,-5616.428571428572
94,2021-12-10,-5745.857142857143
95,2021-12-17,-5451.0
96,2021-12-24,-6271.142857142857
97,2021-12-31,-8559.42857142857
98,2022-01-07,-8479.0
99,2022-01-14,-8099.428571428572
100,2022-01-21,-7678.857142857143
101,2022-01-28,-7697.571428571428
102,2022-02-04,-6883.571428571428
103,2022-02-11,-6406.142857142857
104,2022-02-18,-6037.285714285715
105,2022-02-25,-6237.714285714285
106,2022-03-04,-6573.0
107,2022-03-11,-6516.571428571428
108,2022-03-18,-6119.428571428572
109,2022-03-25,-5874.142857142857
110,2022-04-01,-6173.428571428572
111,2022-04-08,-5935.428571428572
112,2022-04-15,-5928.857142857143
113,2022-04-22,-6162.857142857143
114,2022-04-29,-5359.428571428572
115,2022-05-06,-4912.714285714285
116,2022-05-13,-5270.857142857143
117,2022-05-20,-5168.571428571428
118,2022-05-27,-5340.714285714285
119,2022-06-03,-5218.285714285715
120,2022-06-10,-5332.714285714285
121,2022-06-17,-5291.857142857143
122,2022-06-24,-4897.142857142857
123,2022-07-01,-5157.857142857143
