Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,1,2,0,0
2020-03-03,0,2,0,0
2020-03-04,0,2,0,0
2020-03-05,0,2,0,0
2020-03-06,1,3,0,0
2020-03-07,5,8,0,0
2020-03-08,5,13,0,0
2020-03-09,6,19,0,0
2020-03-10,6,25,0,0
2020-03-11,0,25,0,0
2020-03-12,9,34,0,0
2020-03-13,26,60,0,0
2020-03-14,17,77,0,0
2020-03-15,7,84,0,0
2020-03-16,37,121,0,0
2020-03-17,79,200,0,0
2020-03-18,34,234,0,0
2020-03-19,57,291,1,1
2020-03-20,137,428,3,4
2020-03-21,0,428,0,4
2020-03-22,476,904,7,11
2020-03-23,0,904,0,11
2020-03-24,642,1546,14,25
2020-03-25,345,1891,9,34
2020-03-26,310,2201,12,46
2020-03-27,232,2433,11,57
2020-03-28,482,2915,20,77
2020-03-29,502,3417,15,92
2020-03-30,486,3903,22,114
2020-03-31,353,4256,22,136
2020-04-01,323,4579,23,159
2020-04-02,1138,5717,42,201
2020-04-03,1119,6836,40,241
2020-04-04,1074,7910,58,299
2020-04-05,1146,9056,60,359
2020-04-06,1222,10278,73,432
2020-04-07,852,11130,54,486
2020-04-08,926,12056,67,553
2020-04-09,1661,13717,114,667
2020-04-10,2210,15927,133,800
2020-04-11,1930,17857,141,941
2020-04-12,1781,19638,115,1056
2020-04-13,1089,20727,68,1124
2020-04-14,1442,22169,99,1223
2020-04-15,1261,23430,105,1328
2020-04-16,1832,25262,204,1532
2020-04-17,3058,28320,204,1736
2020-04-18,2105,30425,188,1924
2020-04-19,3257,33682,217,2141
2020-04-20,2917,36599,206,2347
2020-04-21,2055,38654,115,2462
2020-04-22,1927,40581,113,2575
2020-04-23,2498,43079,166,2741
2020-04-24,2678,45757,165,2906
2020-04-25,3735,49492,407,3313
2020-04-26,3503,52995,357,3670
2020-04-27,5514,58509,346,4016
2020-04-28,3379,61888,189,4205
2020-04-29,4613,66501,338,4543
2020-04-30,5385,71886,474,5017
2020-05-01,6276,78162,449,5466
2020-05-02,7218,85380,435,5901
2020-05-03,6209,91589,428,6329
2020-05-04,4970,96559,421,6750
2020-05-05,4588,101147,275,7025
2020-05-06,6633,107780,296,7321
2020-05-07,6935,114715,600,7921
2020-05-08,10503,125218,615,8536
2020-05-09,9888,135106,610,9146
2020-05-10,10222,145328,751,9897
2020-05-11,10611,155939,730,10627
2020-05-12,6760,162699,496,11123
2020-05-13,5632,168331,396,11519
2020-05-14,9258,177589,881,12400
2020-05-15,11385,188974,749,13149
2020-05-16,13944,202918,844,13993
2020-05-17,15305,218223,824,14817
2020-05-18,14919,233142,816,15633
2020-05-19,7938,241080,485,16118
2020-05-20,13140,254220,674,16792
2020-05-21,17408,271628,1179,17971
2020-05-22,19951,291579,888,18859
2020-05-23,18508,310087,1188,20047
2020-05-24,20803,330890,1001,21048
2020-05-25,16508,347398,965,22013
2020-05-26,15813,363211,653,22666
2020-05-27,11687,374898,807,23473
