date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,323.0,1187.0,-4634.0,-840.0,6536.0,12.0
2020-02-16,0.0,-2386.0,675.0,-7343.0,-2657.0,54.0,579.0
2020-02-17,0.0,-4481.0,-2084.0,-8092.0,-992.0,24081.0,-635.0
2020-02-18,0.0,-4546.0,-2277.0,-7756.0,-786.0,23114.0,-834.0
2020-02-19,0.0,-3925.0,-2320.0,-6129.0,-204.0,23134.0,-880.0
2020-02-20,0.0,927.0,3938.0,-2323.0,3322.0,23283.0,-1469.0
2020-02-21,0.0,1450.0,6589.0,-1921.0,6628.0,22235.0,-1178.0
2020-02-22,0.0,1586.0,7503.0,6456.0,7274.0,-2101.0,168.0
2020-02-23,0.0,4172.0,6037.0,20810.0,-2856.0,-1731.0,251.0
2020-02-24,0.0,-7680.0,-278.0,21828.0,-11871.0,-62883.0,5298.0
2020-02-25,0.0,-22523.0,-18914.0,14022.0,-11122.0,-97838.0,5883.0
2020-02-26,0.0,-12602.0,-7311.0,-8317.0,-1623.0,-21463.0,4156.0
2020-02-27,0.0,-5865.0,63.0,-7124.0,-397.0,17394.0,807.0
2020-02-28,0.0,-7158.0,231.0,-12143.0,-4601.0,21296.0,1074.0
2020-02-29,0.0,-6012.0,1489.0,-15376.0,-5802.0,6044.0,2096.0
2020-03-01,0.0,-9098.0,786.0,-19889.0,-6595.0,-657.0,1835.0
2020-03-02,0.0,-7106.0,-865.0,-13253.0,-2971.0,26202.0,-65.0
2020-03-03,0.0,-6053.0,-494.0,-11608.0,-2242.0,24503.0,-387.0
2020-03-04,0.0,-4371.0,301.0,-8556.0,-1297.0,26011.0,-648.0
2020-03-05,0.0,-1011.0,3191.0,-4935.0,267.0,27162.0,-1322.0
2020-03-06,0.0,1342.0,6174.0,-5984.0,1208.0,27367.0,-1467.0
2020-03-07,0.0,4865.0,8394.0,-7316.0,-343.0,8086.0,293.0
2020-03-08,0.0,3743.0,5397.0,-7702.0,-1747.0,2705.0,567.0
2020-03-09,0.0,-1677.0,2118.0,-6603.0,193.0,28432.0,-1141.0
2020-03-10,0.0,-1545.0,2232.0,-6869.0,553.0,27443.0,-1542.0
2020-03-11,0.0,-2170.0,827.0,-5842.0,40.0,26732.0,-1295.0
2020-03-12,0.0,-2457.0,1082.0,-5697.0,591.0,26774.0,-1285.0
2020-03-13,0.0,-2825.0,1633.0,-7698.0,79.0,28569.0,-1311.0
