,date_time_for_mobility,average_mobility_7
0,2020-02-21,638.7142857142857
1,2020-02-28,-3599.4285714285716
2,2020-03-06,-2490.285714285714
3,2020-03-13,-90.57142857142857
4,2020-03-20,-10869.714285714286
5,2020-03-27,-32744.85714285714
6,2020-04-03,-32522.428571428572
7,2020-04-10,-30641.85714285714
8,2020-04-17,-30918.285714285714
9,2020-04-24,-30673.0
10,2020-05-01,-29229.428571428572
11,2020-05-08,-27371.571428571428
12,2020-05-15,-27056.85714285714
13,2020-05-22,-27877.14285714286
14,2020-05-29,-27320.428571428572
15,2020-06-05,-24756.428571428572
16,2020-06-12,-24388.0
17,2020-06-19,-24365.571428571428
18,2020-06-26,-24063.428571428572
19,2020-07-03,-24404.428571428572
20,2020-07-10,-21985.714285714286
21,2020-07-17,-22148.571428571428
22,2020-07-24,-21074.285714285714
23,2020-07-31,-20893.714285714286
24,2020-08-07,-18206.14285714286
25,2020-08-14,-17138.85714285714
26,2020-08-21,-9622.857142857143
27,2020-08-28,-4913.142857142857
28,2020-09-04,-3998.714285714286
29,2020-09-11,-5388.714285714285
30,2020-09-18,-14453.0
31,2020-09-25,-16056.285714285714
32,2020-10-02,-13979.857142857143
33,2020-10-09,-9056.57142857143
34,2020-10-16,-8438.0
35,2020-10-23,-8457.0
36,2020-10-30,-8588.42857142857
37,2020-11-06,-9705.57142857143
38,2020-11-13,-7247.0
39,2020-11-20,-7002.714285714285
40,2020-11-27,-9044.714285714286
41,2020-12-04,-8627.42857142857
42,2020-12-11,-8545.714285714286
43,2020-12-18,-6940.857142857143
44,2020-12-25,-5387.285714285715
45,2021-01-01,-10115.714285714286
46,2021-01-08,-6797.714285714285
47,2021-01-15,-10800.0
48,2021-01-22,-14782.42857142857
49,2021-01-29,-13995.42857142857
50,2021-02-05,-13438.0
51,2021-02-12,-11881.57142857143
52,2021-02-19,-14107.714285714286
53,2021-02-26,-12947.285714285714
54,2021-03-05,-15035.0
55,2021-03-12,-16428.14285714286
56,2021-03-19,-18411.285714285714
57,2021-03-26,-20024.14285714286
58,2021-04-02,-21596.14285714286
59,2021-04-09,-17998.428571428572
60,2021-04-16,-16280.714285714286
61,2021-04-23,-16526.85714285714
62,2021-04-30,-13215.57142857143
63,2021-05-07,-11128.57142857143
64,2021-05-14,-8541.0
65,2021-05-21,-9835.857142857143
66,2021-05-28,-9921.714285714286
67,2021-06-04,-10221.142857142857
68,2021-06-11,-6557.857142857143
69,2021-06-18,-7689.0
70,2021-06-25,-9528.857142857143
71,2021-07-02,-8328.285714285714
72,2021-07-09,-4328.857142857143
73,2021-07-16,-3087.4285714285716
74,2021-07-23,-3531.4285714285716
75,2021-07-30,-4167.142857142857
76,2021-08-06,-2393.714285714286
77,2021-08-13,-1004.7142857142857
78,2021-08-20,-2639.8571428571427
79,2021-08-27,-2795.285714285714
80,2021-09-03,-2238.4285714285716
81,2021-09-10,-2309.1428571428573
82,2021-09-17,-1134.0
83,2021-09-24,-1322.142857142857
84,2021-10-01,-1037.5714285714287
85,2021-10-08,293.57142857142856
86,2021-10-15,-1621.2857142857142
87,2021-10-22,-276.7142857142857
88,2021-10-29,92.28571428571429
89,2021-11-05,-1426.142857142857
90,2021-11-12,2814.285714285714
91,2021-11-19,1697.7142857142858
92,2021-11-26,1867.7142857142858
93,2021-12-03,2406.5714285714284
94,2021-12-10,3858.4285714285716
95,2021-12-17,4792.0
96,2021-12-24,8653.42857142857
97,2021-12-31,1329.4285714285713
98,2022-01-07,1352.7142857142858
99,2022-01-14,-173.85714285714286
100,2022-01-21,-686.0
101,2022-01-28,-1321.0
102,2022-02-04,-1343.7142857142858
103,2022-02-11,1910.0
104,2022-02-18,2102.714285714286
105,2022-02-25,2514.8571428571427
106,2022-03-04,-1347.4285714285713
107,2022-03-11,530.0
108,2022-03-18,-386.57142857142856
109,2022-03-25,-1106.857142857143
110,2022-04-01,-1580.857142857143
111,2022-04-08,-334.7142857142857
112,2022-04-15,512.7142857142857
113,2022-04-22,-632.8571428571429
114,2022-04-29,1906.857142857143
115,2022-05-06,1400.0
116,2022-05-13,3195.1428571428573
117,2022-05-20,182.14285714285714
118,2022-05-27,266.57142857142856
119,2022-06-03,-505.85714285714283
120,2022-06-10,1169.857142857143
121,2022-06-17,-901.5714285714286
122,2022-06-24,682.1428571428571
123,2022-07-01,39.285714285714285
