Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,1,1,0,0
2020-01-27,0,1,0,0
2020-01-28,1,2,0,0
2020-01-29,0,2,0,0
2020-01-30,1,3,0,0
2020-01-31,0,3,0,0
2020-02-01,1,4,0,0
2020-02-02,0,4,0,0
2020-02-03,0,4,0,0
2020-02-04,4,8,0,0
2020-02-05,1,9,0,0
2020-02-06,0,9,0,0
2020-02-07,-4,5,0,0
2020-02-08,2,7,0,0
2020-02-09,0,7,0,0
2020-02-10,0,7,0,0
2020-02-11,0,7,0,0
2020-02-12,0,7,0,0
2020-02-13,0,7,0,0
2020-02-14,0,7,0,0
2020-02-15,0,7,0,0
2020-02-16,0,7,0,0
2020-02-17,1,8,0,0
2020-02-18,0,8,0,0
2020-02-19,0,8,0,0
2020-02-20,0,8,0,0
2020-02-21,0,8,0,0
2020-02-22,1,9,0,0
2020-02-23,0,9,0,0
2020-02-24,0,9,0,0
2020-02-25,1,10,0,0
2020-02-26,0,10,0,0
2020-02-27,1,11,0,0
2020-02-28,1,12,0,0
2020-02-29,1,13,0,0
2020-03-01,2,15,0,0
2020-03-02,0,15,0,0
2020-03-03,9,24,0,0
2020-03-04,9,33,0,0
2020-03-05,0,33,0,0
2020-03-06,12,45,0,0
2020-03-07,0,45,0,0
2020-03-08,6,51,0,0
2020-03-09,6,57,0,0
2020-03-10,5,62,1,1
2020-03-11,15,77,0,1
2020-03-12,26,103,0,1
2020-03-13,0,103,0,1
2020-03-14,35,138,0,1
2020-03-15,38,176,0,1
2020-03-16,17,193,0,1
2020-03-17,56,249,0,1
2020-03-18,75,324,3,4
2020-03-19,100,424,3,7
2020-03-20,145,569,1,8
2020-03-21,277,846,2,10
2020-03-22,125,971,1,11
2020-03-23,331,1302,4,15
2020-03-24,128,1430,0,15
2020-03-25,216,1646,3,18
2020-03-26,313,1959,1,19
2020-03-27,1426,3385,3,22
2020-03-28,633,4018,2,24
2020-03-29,657,4675,11,35
2020-03-30,711,5386,6,41
2020-03-31,869,6255,1,42
2020-04-01,1169,7424,14,56
2020-04-02,1112,8536,7,63
2020-04-03,1059,9595,9,72
2020-04-04,1673,11268,66,138
2020-04-05,1251,12519,49,187
2020-04-06,1363,13882,44,231
2020-04-07,1614,15496,49,280
2020-04-08,1157,16653,43,323
2020-04-09,1230,17883,56,379
2020-04-10,1391,19274,55,434
2020-04-11,1474,20748,74,508
2020-04-12,1385,22133,60,568
2020-04-13,1168,23301,84,652
2020-04-14,1064,24365,64,716
2020-04-15,1298,25663,63,779
2020-04-16,1383,27046,123,902
2020-04-17,1318,28364,107,1009
2020-04-18,1717,30081,182,1191
2020-04-19,1791,31872,115,1306
2020-04-20,1468,33340,158,1464
2020-04-21,1436,34776,113,1577
2020-04-22,2046,36822,110,1687
2020-04-23,1590,38412,144,1831
2020-04-24,1767,40179,140,1971
2020-04-25,1920,42099,172,2143
2020-04-26,1778,43877,156,2299
2020-04-27,1464,45341,162,2461
2020-04-28,1543,46884,94,2555
2020-04-29,1605,48489,146,2701
2020-04-30,1526,50015,152,2853
2020-05-01,1572,51587,137,2990
2020-05-02,1638,53225,186,3176
2020-05-03,1825,55050,206,3382
2020-05-04,1653,56703,174,3556
2020-05-05,2760,59463,115,3671
2020-05-06,1298,60761,172,3843
2020-05-07,1274,62035,188,4031
2020-05-08,1449,63484,189,4220
2020-05-09,1426,64910,175,4395
2020-05-10,1512,66422,161,4556
2020-05-11,1268,67690,123,4679
2020-05-12,1146,68836,178,4857
2020-05-13,1133,69969,122,4979
2020-05-14,1175,71144,176,5155
2020-05-15,1121,72265,133,5288
2020-05-16,1211,73476,168,5456
2020-05-17,1126,74602,90,5546
2020-05-18,1251,75853,117,5663
2020-05-19,1138,76991,103,5766
2020-05-20,1070,78061,60,5826
2020-05-21,1040,79101,69,5895
2020-05-22,1011,80112,118,6013
2020-05-23,1201,81313,122,6135
2020-05-24,1156,82469,97,6232
2020-05-25,1141,83610,103,6335
2020-05-26,1078,84688,69,6404
2020-05-27,1012,85700,121,6525
