,date_time_for_mobility,average_mobility_7
0,2020-02-21,-10.285714285714286
1,2020-02-28,174.28571428571428
2,2020-03-06,116.71428571428571
3,2020-03-13,-89.57142857142857
4,2020-03-20,-2511.285714285714
5,2020-03-27,-4565.285714285715
6,2020-04-03,-5321.857142857143
7,2020-04-10,-5340.571428571428
8,2020-04-17,-5269.142857142857
9,2020-04-24,-4951.0
10,2020-05-01,-4516.428571428572
11,2020-05-08,-4166.285714285715
12,2020-05-15,-3971.1428571428573
13,2020-05-22,-3579.5714285714284
14,2020-05-29,-3077.1428571428573
15,2020-06-05,-2862.4285714285716
16,2020-06-12,-2788.1428571428573
17,2020-06-19,-2309.1428571428573
18,2020-06-26,-2145.5714285714284
19,2020-07-03,-2135.5714285714284
20,2020-07-10,-2018.4285714285713
21,2020-07-17,-2137.5714285714284
22,2020-07-24,-2033.857142857143
23,2020-07-31,-1984.857142857143
24,2020-08-07,-2032.142857142857
25,2020-08-14,-1971.0
26,2020-08-21,-1266.0
27,2020-08-28,-1240.0
28,2020-09-04,-1183.7142857142858
29,2020-09-11,-1414.0
30,2020-09-18,-2202.714285714286
31,2020-09-25,-2509.5714285714284
32,2020-10-02,-2722.0
33,2020-10-09,-2749.285714285714
34,2020-10-16,-3137.8571428571427
35,2020-10-23,-2964.4285714285716
36,2020-10-30,-2937.8571428571427
37,2020-11-06,-3032.0
38,2020-11-13,-3222.714285714286
39,2020-11-20,-3470.5714285714284
40,2020-11-27,-3571.285714285714
41,2020-12-04,-3646.714285714286
42,2020-12-11,-3739.4285714285716
43,2020-12-18,-3787.0
44,2020-12-25,-4108.428571428572
45,2021-01-01,-5143.571428571428
46,2021-01-08,-4553.714285714285
47,2021-01-15,-4556.714285714285
48,2021-01-22,-4663.857142857143
49,2021-01-29,-4638.428571428572
50,2021-02-05,-4650.0
51,2021-02-12,-4565.714285714285
52,2021-02-19,-4402.0
53,2021-02-26,-4018.0
54,2021-03-05,-4063.714285714286
55,2021-03-12,-3870.5714285714284
56,2021-03-19,-3697.0
57,2021-03-26,-3377.285714285714
58,2021-04-02,-3633.1428571428573
59,2021-04-09,-3654.0
60,2021-04-16,-3606.8571428571427
61,2021-04-23,-3701.8571428571427
62,2021-04-30,-3648.714285714286
63,2021-05-07,-3533.1428571428573
64,2021-05-14,-3338.4285714285716
65,2021-05-21,-3110.714285714286
66,2021-05-28,-3505.285714285714
67,2021-06-04,-3078.285714285714
68,2021-06-11,-3077.714285714286
69,2021-06-18,-2798.8571428571427
70,2021-06-25,-2728.1428571428573
71,2021-07-02,-2803.4285714285716
72,2021-07-09,-2341.1428571428573
73,2021-07-16,-2302.1428571428573
74,2021-07-23,-2178.0
75,2021-07-30,-2066.4285714285716
76,2021-08-06,-1841.142857142857
77,2021-08-13,-1930.7142857142858
78,2021-08-20,-1739.5714285714287
79,2021-08-27,-1694.857142857143
80,2021-09-03,-1452.4285714285713
81,2021-09-10,-1717.142857142857
82,2021-09-17,-1791.2857142857142
83,2021-09-24,-1912.7142857142858
84,2021-10-01,-2010.7142857142858
85,2021-10-08,-1877.2857142857142
86,2021-10-15,-2093.4285714285716
87,2021-10-22,-2233.5714285714284
88,2021-10-29,-2289.5714285714284
89,2021-11-05,-2309.8571428571427
90,2021-11-12,-2490.4285714285716
91,2021-11-19,-2555.1428571428573
92,2021-11-26,-2575.1428571428573
93,2021-12-03,-2631.5714285714284
94,2021-12-10,-2813.714285714286
95,2021-12-17,-2706.0
96,2021-12-24,-2748.1428571428573
97,2021-12-31,-3862.5714285714284
98,2022-01-07,-4252.142857142857
99,2022-01-14,-4029.4285714285716
100,2022-01-21,-3991.0
101,2022-01-28,-3597.5714285714284
102,2022-02-04,-3425.5714285714284
103,2022-02-11,-3193.285714285714
104,2022-02-18,-3128.285714285714
105,2022-02-25,-3146.714285714286
106,2022-03-04,-3101.8571428571427
107,2022-03-11,-3188.714285714286
108,2022-03-18,-3078.285714285714
109,2022-03-25,-3066.0
110,2022-04-01,-3072.0
111,2022-04-08,-2959.714285714286
112,2022-04-15,-2878.1428571428573
113,2022-04-22,-2780.5714285714284
114,2022-04-29,-2382.8571428571427
115,2022-05-06,-2060.285714285714
116,2022-05-13,-1906.142857142857
117,2022-05-20,-1812.2857142857142
118,2022-05-27,-1786.142857142857
119,2022-06-03,-1616.0
120,2022-06-10,-1618.0
121,2022-06-17,-1455.0
122,2022-06-24,-1314.857142857143
123,2022-07-01,-1047.2857142857142
