date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,-988.0,-308.0,-4851.0,-1194.0,897.0,136.0
2020-02-16,0.0,-833.0,115.0,-4633.0,-1418.0,-39.0,212.0
2020-02-17,0.0,-557.0,128.0,-1971.0,232.0,2906.0,-162.0
2020-02-18,0.0,-595.0,-176.0,-1933.0,143.0,3057.0,-209.0
2020-02-19,0.0,-785.0,-492.0,-2404.0,40.0,2530.0,-244.0
2020-02-20,0.0,-702.0,-518.0,-2261.0,4.0,1345.0,-56.0
2020-02-21,0.0,-988.0,-540.0,-2999.0,116.0,2343.0,-63.0
2020-02-22,0.0,-1186.0,-699.0,-3736.0,-376.0,666.0,54.0
2020-02-23,0.0,-1145.0,-576.0,-3997.0,-670.0,-233.0,160.0
2020-02-24,0.0,-1199.0,-782.0,-3519.0,-197.0,1886.0,-27.0
2020-02-25,0.0,-1333.0,-921.0,-3656.0,-171.0,2085.0,-59.0
2020-02-26,0.0,-1029.0,-670.0,-2090.0,-163.0,2599.0,-188.0
2020-02-27,0.0,-866.0,-356.0,-2942.0,-168.0,2668.0,-177.0
2020-02-28,0.0,-406.0,410.0,-2742.0,-82.0,3873.0,-313.0
2020-02-29,0.0,107.0,878.0,-2057.0,-426.0,1647.0,-115.0
2020-03-01,0.0,13.0,1111.0,-2539.0,-587.0,433.0,61.0
2020-03-02,0.0,-298.0,698.0,-2052.0,138.0,3363.0,-232.0
2020-03-03,0.0,-435.0,283.0,-2233.0,-10.0,3476.0,-241.0
2020-03-04,0.0,-422.0,163.0,-1665.0,-112.0,3126.0,-263.0
2020-03-05,0.0,-397.0,172.0,-1645.0,-25.0,3047.0,-254.0
2020-03-06,0.0,-544.0,-64.0,-2879.0,23.0,4089.0,-285.0
2020-03-07,0.0,-309.0,268.0,-3008.0,-549.0,1726.0,-25.0
2020-03-08,0.0,926.0,542.0,-1595.0,-828.0,572.0,63.0
2020-03-09,0.0,-1043.0,-311.0,-3337.0,-179.0,3230.0,-105.0
2020-03-10,0.0,-1137.0,-507.0,-3274.0,-290.0,3286.0,-136.0
2020-03-11,0.0,-1079.0,-423.0,-2866.0,-271.0,2878.0,-165.0
2020-03-12,0.0,-1115.0,-405.0,-3010.0,-442.0,2695.0,-119.0
2020-03-13,0.0,-1397.0,-360.0,-4330.0,-633.0,3617.0,-127.0
2020-03-14,0.0,-1254.0,269.0,-4407.0,-1240.0,1522.0,107.0
2020-03-15,0.0,-2032.0,564.0,-5221.0,-1754.0,101.0,301.0
2020-03-16,0.0,-1875.0,952.0,-4710.0,-1162.0,-45.0,533.0
2020-03-17,0.0,-2879.0,710.0,-5763.0,-1680.0,-1540.0,889.0
2020-03-18,0.0,-3509.0,91.0,-6279.0,-1999.0,-2914.0,1169.0
