,date_time_for_mobility,average_mobility_7
0,2020-02-21,-296.7142857142857
1,2020-02-28,-261.0
2,2020-03-06,-142.71428571428572
3,2020-03-13,-456.0
4,2020-03-20,-2010.5714285714287
5,2020-03-27,-5170.142857142857
6,2020-04-03,-5405.285714285715
7,2020-04-10,-5367.857142857143
8,2020-04-17,-5473.0
9,2020-04-24,-5491.857142857143
10,2020-05-01,-5469.714285714285
11,2020-05-08,-5248.714285714285
12,2020-05-15,-5065.142857142857
13,2020-05-22,-5007.571428571428
14,2020-05-29,-4964.714285714285
15,2020-06-05,-4629.857142857143
16,2020-06-12,-4626.857142857143
17,2020-06-19,-4596.285714285715
18,2020-06-26,-4570.0
19,2020-07-03,-4454.714285714285
20,2020-07-10,-4391.285714285715
21,2020-07-17,-4489.857142857143
22,2020-07-24,-4843.857142857143
23,2020-07-31,-4589.428571428572
24,2020-08-07,-4657.142857142857
25,2020-08-14,-4567.142857142857
26,2020-08-21,-2690.4285714285716
27,2020-08-28,-1718.142857142857
28,2020-09-04,-1507.142857142857
29,2020-09-11,-1630.5714285714287
30,2020-09-18,-3201.0
31,2020-09-25,-3204.714285714286
32,2020-10-02,-3053.5714285714284
33,2020-10-09,-2660.714285714286
34,2020-10-16,-2467.1428571428573
35,2020-10-23,-2721.5714285714284
36,2020-10-30,-2700.0
37,2020-11-06,-2662.0
38,2020-11-13,-2473.714285714286
39,2020-11-20,-2122.5714285714284
40,2020-11-27,-2119.8571428571427
41,2020-12-04,-1739.142857142857
42,2020-12-11,-1812.7142857142858
43,2020-12-18,-1475.0
44,2020-12-25,-1489.5714285714287
45,2021-01-01,-1911.2857142857142
46,2021-01-08,-1686.857142857143
47,2021-01-15,-2565.714285714286
48,2021-01-22,-2540.285714285714
49,2021-01-29,-2411.8571428571427
50,2021-02-05,-2128.5714285714284
51,2021-02-12,-2127.714285714286
52,2021-02-19,-1927.0
53,2021-02-26,-1692.4285714285713
54,2021-03-05,-1425.0
55,2021-03-12,-1549.142857142857
56,2021-03-19,-1367.0
57,2021-03-26,-1296.7142857142858
58,2021-04-02,-1508.0
59,2021-04-09,-1244.142857142857
60,2021-04-16,-1862.2857142857142
61,2021-04-23,-1835.0
62,2021-04-30,-2124.4285714285716
63,2021-05-07,-2770.8571428571427
64,2021-05-14,-2316.0
65,2021-05-21,-1800.857142857143
66,2021-05-28,-1377.4285714285713
67,2021-06-04,-691.5714285714286
68,2021-06-11,-489.7142857142857
69,2021-06-18,-342.42857142857144
70,2021-06-25,-199.57142857142858
71,2021-07-02,93.0
72,2021-07-09,430.42857142857144
73,2021-07-16,418.2857142857143
74,2021-07-23,353.2857142857143
75,2021-07-30,466.2857142857143
76,2021-08-06,862.0
77,2021-08-13,754.8571428571429
78,2021-08-20,947.4285714285714
79,2021-08-27,716.5714285714286
80,2021-09-03,891.1428571428571
81,2021-09-10,963.8571428571429
82,2021-09-17,1064.142857142857
83,2021-09-24,1091.5714285714287
84,2021-10-01,1049.7142857142858
85,2021-10-08,1229.142857142857
86,2021-10-15,1350.0
87,2021-10-22,1541.5714285714287
88,2021-10-29,1407.857142857143
89,2021-11-05,1653.142857142857
90,2021-11-12,1760.142857142857
91,2021-11-19,2022.4285714285713
92,2021-11-26,2013.4285714285713
93,2021-12-03,2354.714285714286
94,2021-12-10,2199.0
95,2021-12-17,2483.0
96,2021-12-24,2907.714285714286
97,2021-12-31,2098.1428571428573
98,2022-01-07,1859.142857142857
99,2022-01-14,1893.7142857142858
100,2022-01-21,1927.0
101,2022-01-28,1993.0
102,2022-02-04,2206.714285714286
103,2022-02-11,2274.8571428571427
104,2022-02-18,2258.5714285714284
105,2022-02-25,2088.8571428571427
106,2022-03-04,2122.1428571428573
107,2022-03-11,2164.4285714285716
108,2022-03-18,2116.714285714286
109,2022-03-25,2363.4285714285716
110,2022-04-01,2042.4285714285713
111,2022-04-08,2292.1428571428573
112,2022-04-15,2153.4285714285716
113,2022-04-22,2544.4285714285716
114,2022-04-29,2156.714285714286
115,2022-05-06,2359.4285714285716
116,2022-05-13,2048.8571428571427
117,2022-05-20,2364.1428571428573
118,2022-05-27,2349.5714285714284
119,2022-06-03,1757.857142857143
120,2022-06-10,2296.8571428571427
121,2022-06-17,2417.8571428571427
122,2022-06-24,2386.285714285714
123,2022-07-01,3026.1428571428573
