date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,-178.0,-85.0,-12.0,-57.0,-259.0,-2.0
2020-02-16,0.0,-596.0,-469.0,-1717.0,-450.0,-252.0,13.0
2020-02-17,0.0,-135.0,-13.0,-51.0,-482.0,-338.0,138.0
2020-02-18,0.0,45.0,91.0,55.0,-314.0,-260.0,82.0
2020-02-19,0.0,109.0,71.0,128.0,-336.0,-284.0,70.0
2020-02-20,0.0,-66.0,-29.0,-131.0,-362.0,-305.0,116.0
2020-02-21,0.0,32.0,29.0,157.0,-206.0,-353.0,91.0
2020-02-22,0.0,-449.0,-183.0,-716.0,-448.0,-100.0,8.0
2020-02-23,0.0,-42.0,-67.0,-621.0,-63.0,9.0,1.0
2020-02-24,0.0,-88.0,-64.0,132.0,26.0,218.0,47.0
2020-02-25,0.0,-277.0,-222.0,-79.0,-67.0,187.0,72.0
2020-02-26,0.0,-81.0,-132.0,-42.0,-173.0,204.0,56.0
2020-02-27,0.0,174.0,125.0,152.0,84.0,172.0,20.0
2020-02-28,0.0,1500.0,173.0,324.0,490.0,200.0,-51.0
2020-02-29,0.0,833.0,-169.0,-499.0,103.0,8.0,-1.0
2020-03-01,0.0,1085.0,-456.0,-557.0,180.0,36.0,-5.0
2020-03-02,0.0,922.0,-396.0,263.0,113.0,192.0,16.0
2020-03-03,0.0,819.0,-369.0,63.0,-84.0,161.0,18.0
2020-03-04,0.0,897.0,-411.0,161.0,69.0,164.0,19.0
2020-03-05,0.0,1017.0,-215.0,267.0,87.0,128.0,1.0
2020-03-06,0.0,718.0,-274.0,134.0,40.0,115.0,49.0
2020-03-07,0.0,925.0,-168.0,752.0,340.0,32.0,-8.0
2020-03-08,0.0,605.0,-527.0,-719.0,17.0,-81.0,1.0
2020-03-09,0.0,539.0,-414.0,120.0,-138.0,5.0,95.0
2020-03-10,0.0,393.0,-305.0,-74.0,-570.0,-30.0,155.0
2020-03-11,0.0,595.0,351.0,263.0,-768.0,-134.0,147.0
2020-03-12,0.0,-411.0,1759.0,-367.0,-2968.0,-2618.0,901.0
2020-03-13,0.0,-1650.0,-635.0,-58.0,-4137.0,-4132.0,948.0
2020-03-14,0.0,-1744.0,-766.0,1009.0,-2247.0,-699.0,78.0
2020-03-15,0.0,-1659.0,-1787.0,-334.0,-3157.0,-925.0,84.0
2020-03-16,0.0,-1292.0,-1076.0,429.0,-4376.0,-4813.0,992.0
