,date_time_for_mobility,average_mobility_7
0,2020-02-21,-315.2857142857143
1,2020-02-28,-21.571428571428573
2,2020-03-06,72.57142857142857
3,2020-03-13,-1174.857142857143
4,2020-03-20,-4179.285714285715
5,2020-03-27,-4461.285714285715
6,2020-04-03,-4387.571428571428
7,2020-04-10,-3998.285714285714
8,2020-04-17,-3761.1428571428573
9,2020-04-24,-2824.8571428571427
10,2020-05-01,-2863.1428571428573
11,2020-05-08,-2370.1428571428573
12,2020-05-15,-2093.285714285714
13,2020-05-22,-2045.0
14,2020-05-29,-1238.142857142857
15,2020-06-05,-1099.2857142857142
16,2020-06-12,-919.4285714285714
17,2020-06-19,-482.42857142857144
18,2020-06-26,-345.85714285714283
19,2020-07-03,-508.7142857142857
20,2020-07-10,-857.4285714285714
21,2020-07-17,-710.7142857142857
22,2020-07-24,-660.0
23,2020-07-31,-780.0
24,2020-08-07,-421.57142857142856
25,2020-08-14,-215.28571428571428
26,2020-08-21,-90.85714285714286
27,2020-08-28,-217.42857142857142
28,2020-09-04,-166.57142857142858
29,2020-09-11,-221.42857142857142
30,2020-09-18,-476.2857142857143
31,2020-09-25,-825.4285714285714
32,2020-10-02,-959.0
33,2020-10-09,-923.8571428571429
34,2020-10-16,-1502.857142857143
35,2020-10-23,-1010.0
36,2020-10-30,-1400.142857142857
37,2020-11-06,-1665.857142857143
38,2020-11-13,-1857.5714285714287
39,2020-11-20,-1869.4285714285713
40,2020-11-27,-1862.4285714285713
41,2020-12-04,-1800.5714285714287
42,2020-12-11,-2321.285714285714
43,2020-12-18,-2964.8571428571427
44,2020-12-25,-3828.4285714285716
45,2021-01-01,-4473.0
46,2021-01-08,-3959.714285714286
47,2021-01-15,-3960.8571428571427
48,2021-01-22,-3933.4285714285716
49,2021-01-29,-3677.5714285714284
50,2021-02-05,-3541.5714285714284
51,2021-02-12,-3554.4285714285716
52,2021-02-19,-3338.5714285714284
53,2021-02-26,-3074.4285714285716
54,2021-03-05,-2707.285714285714
55,2021-03-12,-2853.285714285714
56,2021-03-19,-2512.5714285714284
57,2021-03-26,-2341.0
58,2021-04-02,-2586.0
59,2021-04-09,-2247.5714285714284
60,2021-04-16,-1956.7142857142858
61,2021-04-23,-1422.7142857142858
62,2021-04-30,-1488.7142857142858
63,2021-05-07,-1283.142857142857
64,2021-05-14,-1214.2857142857142
65,2021-05-21,-819.2857142857143
66,2021-05-28,-1180.7142857142858
67,2021-06-04,-453.85714285714283
68,2021-06-11,-388.2857142857143
69,2021-06-18,-357.42857142857144
70,2021-06-25,-367.7142857142857
71,2021-07-02,-457.2857142857143
72,2021-07-09,-459.2857142857143
73,2021-07-16,-687.0
74,2021-07-23,-836.0
75,2021-07-30,-953.5714285714286
76,2021-08-06,-460.42857142857144
77,2021-08-13,38.714285714285715
78,2021-08-20,242.28571428571428
79,2021-08-27,328.85714285714283
80,2021-09-03,428.14285714285717
81,2021-09-10,477.42857142857144
82,2021-09-17,140.85714285714286
83,2021-09-24,-154.0
84,2021-10-01,-358.85714285714283
85,2021-10-08,-556.5714285714286
86,2021-10-15,-537.1428571428571
87,2021-10-22,-1323.4285714285713
88,2021-10-29,-636.0
89,2021-11-05,-633.2857142857143
90,2021-11-12,-820.1428571428571
91,2021-11-19,-863.2857142857143
92,2021-11-26,-890.4285714285714
93,2021-12-03,-913.4285714285714
94,2021-12-10,-1106.4285714285713
95,2021-12-17,-1580.857142857143
96,2021-12-24,-2303.4285714285716
97,2021-12-31,-3248.4285714285716
98,2022-01-07,-2616.4285714285716
99,2022-01-14,-2378.285714285714
100,2022-01-21,-2263.714285714286
101,2022-01-28,-2244.8571428571427
102,2022-02-04,-1951.142857142857
103,2022-02-11,-1729.142857142857
104,2022-02-18,-2122.5714285714284
105,2022-02-25,-1778.857142857143
106,2022-03-04,-1240.0
107,2022-03-11,-1240.7142857142858
108,2022-03-18,-1197.0
109,2022-03-25,-1085.4285714285713
110,2022-04-01,-1100.857142857143
111,2022-04-08,-1026.7142857142858
112,2022-04-15,-1446.4285714285713
113,2022-04-22,-803.4285714285714
114,2022-04-29,-385.42857142857144
115,2022-05-06,-188.14285714285714
116,2022-05-13,-498.14285714285717
117,2022-05-20,-160.71428571428572
118,2022-05-27,-640.5714285714286
119,2022-06-03,59.142857142857146
120,2022-06-10,-104.57142857142857
121,2022-06-17,240.0
122,2022-06-24,236.57142857142858
123,2022-07-01,277.85714285714283
