date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,272.0,-197.0,3965.0,915.0,13.0,-131.0
2020-02-16,0.0,415.0,-126.0,4102.0,1437.0,67.0,-169.0
2020-02-17,0.0,-79.0,40.0,717.0,369.0,120.0,-35.0
2020-02-18,0.0,206.0,-72.0,2225.0,374.0,132.0,-25.0
2020-02-19,0.0,-22.0,-104.0,931.0,204.0,108.0,-26.0
2020-02-20,0.0,179.0,-14.0,1809.0,478.0,51.0,-47.0
2020-02-21,0.0,151.0,47.0,2127.0,650.0,10.0,-58.0
2020-02-22,0.0,-150.0,211.0,3520.0,952.0,-36.0,-39.0
2020-02-23,0.0,-324.0,923.0,4105.0,1166.0,139.0,-28.0
2020-02-24,0.0,-235.0,2589.0,2826.0,-1349.0,-1571.0,418.0
2020-02-25,0.0,-493.0,435.0,3428.0,-1794.0,-1792.0,576.0
2020-02-26,0.0,-1452.0,-614.0,-835.0,-2451.0,-1371.0,640.0
2020-02-27,0.0,-1048.0,-386.0,-108.0,-2383.0,-1209.0,642.0
2020-02-28,0.0,-828.0,-331.0,1490.0,-2225.0,-1174.0,581.0
2020-02-29,0.0,-1087.0,-304.0,654.0,-1792.0,-865.0,423.0
2020-03-01,0.0,-2060.0,-864.0,-2439.0,-2815.0,-609.0,538.0
2020-03-02,0.0,-1429.0,-635.0,-2753.0,-2546.0,-810.0,529.0
2020-03-03,0.0,-835.0,-245.0,-730.0,-2334.0,-767.0,477.0
2020-03-04,0.0,-776.0,19.0,829.0,-2089.0,-801.0,432.0
2020-03-05,0.0,-1389.0,13.0,-1221.0,-3168.0,-1955.0,830.0
2020-03-06,0.0,-1734.0,-103.0,-731.0,-3430.0,-2037.0,934.0
2020-03-07,0.0,-2450.0,-69.0,7.0,-3218.0,-1920.0,832.0
2020-03-08,0.0,-3838.0,-700.0,255.0,-3355.0,-1248.0,762.0
2020-03-09,0.0,-3635.0,-340.0,-2693.0,-5014.0,-2862.0,1319.0
2020-03-10,0.0,-5396.0,-577.0,-3660.0,-6055.0,-3727.0,1853.0
2020-03-11,0.0,-6542.0,-2212.0,-3939.0,-6809.0,-4455.0,2192.0
2020-03-12,0.0,-8828.0,-3301.0,-7360.0,-8110.0,-5682.0,2903.0
2020-03-13,0.0,-9415.0,-3872.0,-7768.0,-8626.0,-6440.0,3331.0
2020-03-14,0.0,-10536.0,-5725.0,-9643.0,-9379.0,-7178.0,3127.0
2020-03-15,0.0,-11426.0,-8380.0,-10059.0,-9869.0,-6847.0,2710.0
2020-03-16,0.0,-9431.0,-4881.0,-8134.0,-9094.0,-7023.0,3259.0
2020-03-17,0.0,-9721.0,-5503.0,-8114.0,-9273.0,-7403.0,3449.0
2020-03-18,0.0,-9903.0,-5716.0,-8620.0,-9360.0,-7508.0,3562.0
2020-03-19,0.0,-9952.0,-5785.0,-8981.0,-9510.0,-7686.0,3711.0
2020-03-20,0.0,-10082.0,-5314.0,-9486.0,-9644.0,-7762.0,3905.0
2020-03-21,0.0,-10886.0,-6744.0,-10622.0,-9959.0,-7808.0,3335.0
2020-03-22,0.0,-12021.0,-11274.0,-11134.0,-10626.0,-7880.0,2892.0
2020-03-23,0.0,-10110.0,-5915.0,-9847.0,-9832.0,-8332.0,3833.0
2020-03-24,0.0,-10314.0,-6379.0,-9744.0,-9838.0,-8525.0,3976.0
2020-03-25,0.0,-10548.0,-6766.0,-10129.0,-9948.0,-8672.0,4107.0
