,date_time_for_mobility,average_mobility_7
0,2020-02-21,632.4285714285714
1,2020-02-28,-1154.857142857143
2,2020-03-06,-2596.285714285714
3,2020-03-13,-5883.857142857143
4,2020-03-20,-9447.0
5,2020-03-27,-10060.57142857143
6,2020-04-03,-9892.857142857143
7,2020-04-10,-9742.857142857143
8,2020-04-17,-9905.285714285714
9,2020-04-24,-9530.714285714286
10,2020-05-01,-9454.285714285714
11,2020-05-08,-7557.285714285715
12,2020-05-15,-6883.142857142857
13,2020-05-22,-5979.571428571428
14,2020-05-29,-4977.285714285715
15,2020-06-05,-4432.428571428572
16,2020-06-12,-3882.8571428571427
17,2020-06-19,-3155.285714285714
18,2020-06-26,-2217.8571428571427
19,2020-07-03,-1775.142857142857
20,2020-07-10,-1416.5714285714287
21,2020-07-17,-1080.5714285714287
22,2020-07-24,-626.2857142857143
23,2020-07-31,-134.0
24,2020-08-07,389.57142857142856
25,2020-08-14,1717.0
26,2020-08-21,894.8571428571429
27,2020-08-28,-183.57142857142858
28,2020-09-04,-858.0
29,2020-09-11,-792.0
30,2020-09-18,-553.8571428571429
31,2020-09-25,-732.5714285714286
32,2020-10-02,-865.1428571428571
33,2020-10-09,-786.0
34,2020-10-16,-1532.857142857143
35,2020-10-23,-1758.4285714285713
36,2020-10-30,-2922.714285714286
37,2020-11-06,-3772.714285714286
38,2020-11-13,-5082.285714285715
39,2020-11-20,-5795.857142857143
40,2020-11-27,-5756.714285714285
41,2020-12-04,-5605.142857142857
42,2020-12-11,-5746.571428571428
43,2020-12-18,-4000.8571428571427
44,2020-12-25,-4846.142857142857
45,2021-01-01,-7249.428571428572
46,2021-01-08,-6417.857142857143
47,2021-01-15,-5348.571428571428
48,2021-01-22,-5600.0
49,2021-01-29,-5271.857142857143
50,2021-02-05,-4681.142857142857
51,2021-02-12,-4518.285714285715
52,2021-02-19,-4555.142857142857
53,2021-02-26,-3902.285714285714
54,2021-03-05,-4055.714285714286
55,2021-03-12,-4930.142857142857
56,2021-03-19,-5441.857142857143
57,2021-03-26,-5575.571428571428
58,2021-04-02,-4816.0
59,2021-04-09,-5640.285714285715
60,2021-04-16,-4460.428571428572
61,2021-04-23,-3928.5714285714284
62,2021-04-30,-3103.714285714286
63,2021-05-07,-2670.4285714285716
64,2021-05-14,-2006.0
65,2021-05-21,-1804.2857142857142
66,2021-05-28,-1427.142857142857
67,2021-06-04,-700.1428571428571
68,2021-06-11,-789.4285714285714
69,2021-06-18,-684.8571428571429
70,2021-06-25,-465.42857142857144
71,2021-07-02,112.85714285714286
72,2021-07-09,618.7142857142857
73,2021-07-16,1052.142857142857
74,2021-07-23,1404.7142857142858
75,2021-07-30,1756.0
76,2021-08-06,2526.714285714286
77,2021-08-13,3492.0
78,2021-08-20,3512.714285714286
79,2021-08-27,3009.8571428571427
80,2021-09-03,1896.0
81,2021-09-10,1365.142857142857
82,2021-09-17,1527.857142857143
83,2021-09-24,918.2857142857143
84,2021-10-01,506.85714285714283
85,2021-10-08,-406.0
86,2021-10-15,-615.0
87,2021-10-22,-506.14285714285717
88,2021-10-29,-568.5714285714286
89,2021-11-05,-819.8571428571429
90,2021-11-12,-1436.4285714285713
91,2021-11-19,-1627.0
92,2021-11-26,-1534.7142857142858
93,2021-12-03,-1858.0
94,2021-12-10,-2311.4285714285716
95,2021-12-17,-1684.4285714285713
96,2021-12-24,-1129.7142857142858
97,2021-12-31,-3322.5714285714284
98,2022-01-07,-3553.0
99,2022-01-14,-3604.8571428571427
100,2022-01-21,-3375.4285714285716
101,2022-01-28,-3334.0
102,2022-02-04,-2889.5714285714284
103,2022-02-11,-2451.8571428571427
104,2022-02-18,-2130.0
105,2022-02-25,-1775.857142857143
106,2022-03-04,-1821.0
107,2022-03-11,-2004.0
108,2022-03-18,-1795.857142857143
109,2022-03-25,-1626.7142857142858
110,2022-04-01,-1583.5714285714287
111,2022-04-08,-1545.142857142857
112,2022-04-15,-156.14285714285714
113,2022-04-22,-167.85714285714286
114,2022-04-29,-85.14285714285714
115,2022-05-06,-100.71428571428571
116,2022-05-13,-147.42857142857142
117,2022-05-20,349.7142857142857
118,2022-05-27,620.0
119,2022-06-03,600.2857142857143
120,2022-06-10,1208.7142857142858
121,2022-06-17,975.4285714285714
122,2022-06-24,986.0
123,2022-07-01,1073.5714285714287
