Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,4,5,0,0
2020-03-08,1,6,0,0
2020-03-09,5,11,0,0
2020-03-10,6,17,0,0
2020-03-11,5,22,0,0
2020-03-12,9,31,0,0
2020-03-13,18,49,1,1
2020-03-14,19,68,1,2
2020-03-15,36,104,1,3
2020-03-16,21,125,0,3
2020-03-17,52,177,1,4
2020-03-18,61,238,1,5
2020-03-19,49,287,0,5
2020-03-20,68,355,0,5
2020-03-21,70,425,0,5
2020-03-22,111,536,0,5
2020-03-23,98,634,2,7
2020-03-24,115,749,1,8
2020-03-25,152,901,2,10
2020-03-26,150,1051,4,14
2020-03-27,170,1221,2,16
2020-03-28,168,1389,0,16
2020-03-29,249,1638,2,18
2020-03-30,224,1862,4,22
2020-03-31,193,2055,9,31
2020-04-01,256,2311,2,33
2020-04-02,243,2554,10,43
2020-04-03,392,2946,14,57
2020-04-04,437,3383,14,71
2020-04-05,244,3627,8,79
2020-04-06,475,4102,15,94
2020-04-07,311,4413,13,107
2020-04-08,435,4848,22,129
2020-04-09,357,5205,30,159
2020-04-10,370,5575,15,174
2020-04-11,380,5955,7,181
2020-04-12,401,6356,27,208
2020-04-13,318,6674,24,232
2020-04-14,260,6934,13,245
2020-04-15,268,7202,18,263
2020-04-16,380,7582,23,286
2020-04-17,336,7918,28,314
2020-04-18,461,8379,18,332
2020-04-19,363,8742,15,347
2020-04-20,545,9287,13,360
2020-04-21,306,9593,20,380
2020-04-22,263,9856,21,401
2020-04-23,313,10169,25,426
2020-04-24,342,10511,28,454
2020-04-25,381,10892,40,494
2020-04-26,381,11273,30,524
2020-04-27,344,11617,11,535
2020-04-28,285,11902,27,562
2020-04-29,316,12218,34,596
2020-04-30,422,12640,28,624
2020-05-01,237,12877,20,644
2020-05-02,228,13105,7,651
2020-05-03,270,13375,13,664
2020-05-04,318,13693,14,678
2020-05-05,313,14006,20,698
2020-05-06,425,14431,18,716
2020-05-07,309,14740,17,733
2020-05-08,307,15047,22,755
2020-05-09,319,15366,21,776
2020-05-10,285,15651,9,785
2020-05-11,345,15996,15,800
2020-05-12,330,16326,11,811
2020-05-13,595,16921,28,839
2020-05-14,283,17204,22,861
2020-05-15,411,17615,22,883
2020-05-16,401,18016,24,907
2020-05-17,241,18257,8,915
2020-05-18,272,18529,10,925
2020-05-19,356,18885,11,936
2020-05-20,383,19268,12,948
2020-05-21,471,19739,14,962
2020-05-22,404,20143,10,972
2020-05-23,476,20619,10,982
2020-05-24,312,20931,11,993
2020-05-25,395,21326,3,996
2020-05-26,305,21631,11,1007
2020-05-27,443,22074,17,1024
2020-05-28,399,22473,4,1028
2020-05-29,352,22825,10,1038
2020-05-30,330,23155,13,1051
2020-05-31,416,23571,10,1061
2020-06-01,215,23786,3,1064
2020-06-02,379,24165,10,1074
