,date_time_for_mobility,average_mobility_7
0,2020-02-21,1070.7142857142858
1,2020-02-28,824.8571428571429
2,2020-03-06,972.1428571428571
3,2020-03-13,-893.4285714285714
4,2020-03-20,-10542.285714285714
5,2020-03-27,-12956.57142857143
6,2020-04-03,-13443.857142857143
7,2020-04-10,-12918.57142857143
8,2020-04-17,-13210.57142857143
9,2020-04-24,-11562.714285714286
10,2020-05-01,-10596.42857142857
11,2020-05-08,-9628.42857142857
12,2020-05-15,-8079.142857142857
13,2020-05-22,-6904.0
14,2020-05-29,-6695.142857142857
15,2020-06-05,-5486.142857142857
16,2020-06-12,-4647.428571428572
17,2020-06-19,-3114.714285714286
18,2020-06-26,-3258.0
19,2020-07-03,-1698.142857142857
20,2020-07-10,-1424.7142857142858
21,2020-07-17,-922.7142857142857
22,2020-07-24,-349.0
23,2020-07-31,171.14285714285714
24,2020-08-07,-51.57142857142857
25,2020-08-14,461.7142857142857
26,2020-08-21,126.57142857142857
27,2020-08-28,-573.8571428571429
28,2020-09-04,-352.85714285714283
29,2020-09-11,69.57142857142857
30,2020-09-18,1728.5714285714287
31,2020-09-25,1253.4285714285713
32,2020-10-02,-324.2857142857143
33,2020-10-09,252.0
34,2020-10-16,-2453.0
35,2020-10-23,-4394.714285714285
36,2020-10-30,-5269.285714285715
37,2020-11-06,-7257.142857142857
38,2020-11-13,-8065.142857142857
39,2020-11-20,-7018.142857142857
40,2020-11-27,-7490.428571428572
41,2020-12-04,-6805.857142857143
42,2020-12-11,-6299.0
43,2020-12-18,-5422.571428571428
44,2020-12-25,-6699.571428571428
45,2021-01-01,-9104.0
46,2021-01-08,-8370.857142857143
47,2021-01-15,-6875.714285714285
48,2021-01-22,-7455.857142857143
49,2021-01-29,-7365.142857142857
50,2021-02-05,-6493.142857142857
51,2021-02-12,-6293.714285714285
52,2021-02-19,-5586.571428571428
53,2021-02-26,-4012.8571428571427
54,2021-03-05,-4596.285714285715
55,2021-03-12,-5002.428571428572
56,2021-03-19,-5065.714285714285
57,2021-03-26,-5779.0
58,2021-04-02,-4829.142857142857
59,2021-04-09,-7523.0
60,2021-04-16,-4946.857142857143
61,2021-04-23,-3975.0
62,2021-04-30,-2348.5714285714284
63,2021-05-07,-3627.285714285714
64,2021-05-14,-17.0
65,2021-05-21,173.14285714285714
66,2021-05-28,824.2857142857143
67,2021-06-04,1885.7142857142858
68,2021-06-11,3524.0
69,2021-06-18,2816.0
70,2021-06-25,2144.4285714285716
71,2021-07-02,2126.1428571428573
72,2021-07-09,2589.714285714286
73,2021-07-16,3450.0
74,2021-07-23,4066.714285714286
75,2021-07-30,4182.142857142857
76,2021-08-06,3867.714285714286
77,2021-08-13,5171.857142857143
78,2021-08-20,4730.142857142857
79,2021-08-27,3604.5714285714284
80,2021-09-03,4058.8571428571427
81,2021-09-10,4855.714285714285
82,2021-09-17,4162.142857142857
83,2021-09-24,2367.285714285714
84,2021-10-01,3307.8571428571427
85,2021-10-08,2901.0
86,2021-10-15,1998.5714285714287
87,2021-10-22,2062.0
88,2021-10-29,2323.4285714285716
89,2021-11-05,1239.142857142857
90,2021-11-12,-482.7142857142857
91,2021-11-19,698.2857142857143
92,2021-11-26,-213.0
93,2021-12-03,-582.7142857142857
94,2021-12-10,-539.5714285714286
95,2021-12-17,-63.42857142857143
96,2021-12-24,-1184.2857142857142
97,2021-12-31,-3197.4285714285716
98,2022-01-07,-4497.857142857143
99,2022-01-14,-934.5714285714286
100,2022-01-21,-1708.857142857143
101,2022-01-28,-2894.0
102,2022-02-04,-3318.5714285714284
103,2022-02-11,-2481.714285714286
104,2022-02-18,-746.4285714285714
105,2022-02-25,-400.2857142857143
106,2022-03-04,1514.142857142857
107,2022-03-11,2064.285714285714
108,2022-03-18,2872.285714285714
109,2022-03-25,2973.1428571428573
110,2022-04-01,2209.5714285714284
111,2022-04-08,1356.2857142857142
112,2022-04-15,3466.8571428571427
113,2022-04-22,1234.0
114,2022-04-29,4379.0
115,2022-05-06,3582.5714285714284
116,2022-05-13,5302.142857142857
117,2022-05-20,5800.714285714285
118,2022-05-27,5262.142857142857
119,2022-06-03,5557.857142857143
120,2022-06-10,6204.428571428572
121,2022-06-17,5827.285714285715
122,2022-06-24,6724.142857142857
123,2022-07-01,5821.285714285715
