Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,1,0,0
2020-02-27,0,1,0,0
2020-02-28,2,3,0,0
2020-02-29,1,4,0,0
2020-03-01,0,4,0,0
2020-03-02,0,4,0,0
2020-03-03,0,4,0,0
2020-03-04,2,6,0,0
2020-03-05,0,6,0,0
2020-03-06,1,7,0,0
2020-03-07,6,13,0,0
2020-03-08,2,15,0,0
2020-03-09,2,17,0,0
2020-03-10,8,25,0,0
2020-03-11,20,45,0,0
2020-03-12,19,64,0,0
2020-03-13,25,89,0,0
2020-03-14,24,113,0,0
2020-03-15,26,139,0,0
2020-03-16,23,162,0,0
2020-03-17,33,195,0,0
2020-03-18,22,217,0,0
2020-03-19,43,260,0,0
2020-03-20,17,277,0,0
2020-03-21,31,308,0,0
2020-03-22,59,367,0,0
2020-03-23,66,433,2,2
2020-03-24,143,576,2,4
2020-03-25,186,762,4,8
2020-03-26,144,906,9,17
2020-03-27,123,1029,6,23
2020-03-28,263,1292,3,26
2020-03-29,160,1452,11,37
2020-03-30,308,1760,6,43
2020-03-31,192,1952,22,65
2020-04-01,293,2245,17,82
2020-04-02,215,2460,10,92
2020-04-03,278,2738,23,115
2020-04-04,445,3183,18,133
2020-04-05,430,3613,13,146
2020-04-06,251,3864,5,151
2020-04-07,193,4057,25,176
2020-04-08,360,4417,21,197
2020-04-09,344,4761,23,220
2020-04-10,441,5202,28,248
2020-04-11,265,5467,22,270
2020-04-12,523,5990,21,291
2020-04-13,310,6300,23,314
2020-04-14,333,6633,17,331
2020-04-15,246,6879,20,351
2020-04-16,337,7216,21,372
2020-04-17,491,7707,20,392
2020-04-18,360,8067,19,411
2020-04-19,351,8418,10,421
2020-04-20,328,8746,30,451
2020-04-21,190,8936,27,478
2020-04-22,306,9242,20,498
2020-04-23,468,9710,26,524
2020-04-24,386,10096,21,545
2020-04-25,321,10417,22,567
2020-04-26,218,10635,34,601
2020-04-27,401,11036,18,619
2020-04-28,303,11339,27,646
2020-04-29,277,11616,17,663
2020-04-30,362,11978,30,693
2020-05-01,262,12240,24,717
2020-05-02,327,12567,27,744
2020-05-03,165,12732,27,771
2020-05-04,431,13163,19,790
2020-05-05,349,13512,28,818
2020-05-06,325,13837,23,841
2020-05-07,270,14107,23,864
2020-05-08,392,14499,24,888
2020-05-09,312,14811,35,923
2020-05-10,320,15131,16,939
2020-05-11,231,15362,22,961
2020-05-12,226,15588,21,982
2020-05-13,190,15778,20,1002
2020-05-14,224,16002,34,1036
2020-05-15,245,16247,17,1053
2020-05-16,190,16437,17,1070
2020-05-17,267,16704,24,1094
2020-05-18,167,16871,13,1107
2020-05-19,165,17036,13,1120
2020-05-20,155,17191,17,1137
2020-05-21,196,17387,10,1147
2020-05-22,198,17585,9,1156
2020-05-23,127,17712,10,1166
2020-05-24,145,17857,10,1176
2020-05-25,213,18070,9,1185
2020-05-26,213,18283,17,1202
2020-05-27,146,18429,14,1216
2020-05-28,165,18594,7,1223
2020-05-29,197,18791,12,1235
2020-05-30,191,18982,13,1248
2020-05-31,151,19133,11,1259
2020-06-01,124,19257,7,1266
