date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,818.0,774.0,109.0,788.0,350.0,-68.0
2020-02-16,0.0,1261.0,944.0,2652.0,1465.0,278.0,-104.0
2020-02-17,0.0,528.0,465.0,1429.0,730.0,367.0,-100.0
2020-02-18,0.0,529.0,561.0,1398.0,755.0,385.0,-104.0
2020-02-19,0.0,349.0,499.0,917.0,519.0,384.0,-113.0
2020-02-20,0.0,-75.0,-14.0,-34.0,210.0,379.0,-34.0
2020-02-21,0.0,28.0,386.0,-269.0,1123.0,3459.0,-226.0
2020-02-22,0.0,159.0,-403.0,392.0,562.0,479.0,-106.0
2020-02-23,0.0,657.0,128.0,1192.0,1005.0,275.0,-75.0
2020-02-24,0.0,-117.0,-145.0,-344.0,-49.0,311.0,-1.0
2020-02-25,0.0,278.0,845.0,1831.0,568.0,615.0,-99.0
2020-02-26,0.0,248.0,863.0,1844.0,515.0,599.0,-140.0
2020-02-27,0.0,-502.0,-110.0,-551.0,-275.0,487.0,40.0
2020-02-28,0.0,-129.0,335.0,-376.0,858.0,3661.0,-172.0
2020-02-29,0.0,468.0,936.0,641.0,219.0,612.0,-23.0
2020-03-01,0.0,1310.0,1365.0,2880.0,1062.0,554.0,-87.0
2020-03-02,0.0,-239.0,-258.0,621.0,179.0,685.0,-40.0
2020-03-03,0.0,-43.0,17.0,1571.0,179.0,748.0,-104.0
2020-03-04,0.0,81.0,155.0,1080.0,90.0,731.0,-108.0
2020-03-05,0.0,-141.0,31.0,-386.0,-87.0,717.0,-30.0
2020-03-06,0.0,564.0,669.0,919.0,1118.0,3885.0,-328.0
2020-03-07,0.0,1325.0,1226.0,2263.0,685.0,656.0,-132.0
2020-03-08,0.0,1778.0,1704.0,-93.0,1002.0,533.0,-97.0
2020-03-09,0.0,-247.0,46.0,-163.0,-193.0,386.0,-1.0
2020-03-10,0.0,-48.0,1331.0,309.0,136.0,165.0,-28.0
2020-03-11,0.0,-530.0,1965.0,68.0,-756.0,-2920.0,257.0
2020-03-12,0.0,-684.0,1440.0,2021.0,-1013.0,-3404.0,300.0
2020-03-13,0.0,-1631.0,626.0,-97.0,-1308.0,-362.0,313.0
2020-03-14,0.0,-2693.0,92.0,-1762.0,-1796.0,-311.0,188.0
2020-03-15,0.0,-3294.0,348.0,-3091.0,-2886.0,-876.0,262.0
2020-03-16,0.0,-2692.0,-1580.0,-1204.0,-3504.0,-5696.0,867.0
2020-03-17,0.0,-3262.0,-2231.0,-1245.0,-3873.0,-6306.0,941.0
2020-03-18,0.0,-3898.0,-2051.0,-939.0,-4182.0,-6919.0,965.0
2020-03-19,0.0,-4777.0,-3065.0,-1138.0,-4902.0,-7068.0,1046.0
2020-03-20,0.0,-5208.0,-2853.0,-2249.0,-4467.0,-3449.0,933.0
2020-03-21,0.0,-5921.0,-3178.0,-3393.0,-4315.0,-2121.0,428.0
2020-03-22,0.0,-5396.0,-2580.0,-6069.0,-5401.0,-2401.0,441.0
2020-03-23,0.0,-6625.0,-5130.0,-5661.0,-7827.0,-9817.0,1693.0
2020-03-24,0.0,-6438.0,-4145.0,-5405.0,-7510.0,-10626.0,1661.0
2020-03-25,0.0,-7458.0,-6444.0,-5730.0,-8276.0,-12093.0,1941.0
2020-03-26,0.0,-7823.0,-7163.0,-5814.0,-8497.0,-11518.0,1967.0
2020-03-27,0.0,-8030.0,-6759.0,-6351.0,-8389.0,-7536.0,1834.0
2020-03-28,0.0,-8076.0,-6515.0,-6146.0,-7317.0,-4318.0,826.0
2020-03-29,0.0,-7290.0,-6347.0,-6061.0,-7245.0,-3716.0,562.0
2020-03-30,0.0,-6948.0,-5654.0,-5063.0,-8156.0,-11709.0,1799.0
2020-03-31,0.0,-7198.0,-5839.0,-5621.0,-8280.0,-12230.0,1875.0
2020-04-01,0.0,-7276.0,-5629.0,-5187.0,-8092.0,-12039.0,1841.0
2020-04-02,0.0,-7249.0,-5906.0,-5314.0,-8006.0,-11581.0,1839.0
2020-04-03,0.0,-7468.0,-5690.0,-5870.0,-7835.0,-7629.0,1695.0
2020-04-04,0.0,-7723.0,-5792.0,-5856.0,-7007.0,-4102.0,764.0
2020-04-05,0.0,-7109.0,-5738.0,-5912.0,-7179.0,-3704.0,535.0
2020-04-06,0.0,-6877.0,-5186.0,-4844.0,-7932.0,-11797.0,1711.0
2020-04-07,0.0,-6672.0,-4763.0,-4462.0,-7868.0,-11814.0,1671.0
2020-04-08,0.0,-6601.0,-4693.0,-4188.0,-7795.0,-11711.0,1617.0
2020-04-09,0.0,-6854.0,-4832.0,-4195.0,-7694.0,-11317.0,1621.0
2020-04-10,0.0,-6705.0,-4051.0,-5011.0,-7050.0,-7740.0,1488.0
2020-04-11,0.0,-6985.0,-3933.0,-5340.0,-6232.0,-3607.0,667.0
2020-04-12,0.0,-6725.0,-5298.0,-5887.0,-6703.0,-3193.0,530.0
