,date_time_for_mobility,average_mobility_7
0,2020-02-21,798.5714285714286
1,2020-02-28,454.85714285714283
2,2020-03-06,394.2857142857143
3,2020-03-13,-206.71428571428572
4,2020-03-20,-3658.5714285714284
5,2020-03-27,-7173.571428571428
6,2020-04-03,-7847.285714285715
7,2020-04-10,-7503.571428571428
8,2020-04-17,-7080.714285714285
9,2020-04-24,-7468.714285714285
10,2020-05-01,-7111.857142857143
11,2020-05-08,-6935.571428571428
12,2020-05-15,-5715.571428571428
13,2020-05-22,-3324.714285714286
14,2020-05-29,-3083.1428571428573
15,2020-06-05,-2294.0
16,2020-06-12,-1999.5714285714287
17,2020-06-19,-1721.4285714285713
18,2020-06-26,-1414.0
19,2020-07-03,-1052.0
20,2020-07-10,-1028.5714285714287
21,2020-07-17,-670.7142857142857
22,2020-07-24,-1060.142857142857
23,2020-07-31,-1134.2857142857142
24,2020-08-07,-1065.0
25,2020-08-14,-928.4285714285714
26,2020-08-21,-496.85714285714283
27,2020-08-28,-545.2857142857143
28,2020-09-04,-528.7142857142857
29,2020-09-11,-514.0
30,2020-09-18,-483.14285714285717
31,2020-09-25,-970.2857142857143
32,2020-10-02,-1311.857142857143
33,2020-10-09,-1006.7142857142857
34,2020-10-16,-1127.7142857142858
35,2020-10-23,-1634.857142857143
36,2020-10-30,-2024.2857142857142
37,2020-11-06,-2691.1428571428573
38,2020-11-13,-3425.1428571428573
39,2020-11-20,-3622.1428571428573
40,2020-11-27,-3947.4285714285716
41,2020-12-04,-4419.142857142857
42,2020-12-11,-3738.714285714286
43,2020-12-18,-3052.714285714286
44,2020-12-25,-3323.0
45,2021-01-01,-4866.571428571428
46,2021-01-08,-3974.714285714286
47,2021-01-15,-4292.142857142857
48,2021-01-22,-4564.571428571428
49,2021-01-29,-4331.428571428572
50,2021-02-05,-3694.5714285714284
51,2021-02-12,-3142.5714285714284
52,2021-02-19,-3100.1428571428573
53,2021-02-26,-2463.714285714286
54,2021-03-05,-2234.0
55,2021-03-12,-2652.1428571428573
56,2021-03-19,-2875.714285714286
57,2021-03-26,-2879.4285714285716
58,2021-04-02,-2481.4285714285716
59,2021-04-09,-2833.285714285714
60,2021-04-16,-2034.0
61,2021-04-23,-1845.7142857142858
62,2021-04-30,-1456.857142857143
63,2021-05-07,-2278.714285714286
64,2021-05-14,-461.0
65,2021-05-21,-319.42857142857144
66,2021-05-28,-114.28571428571429
67,2021-06-04,-578.8571428571429
68,2021-06-11,227.85714285714286
69,2021-06-18,-88.57142857142857
70,2021-06-25,-759.0
71,2021-07-02,-253.85714285714286
72,2021-07-09,164.85714285714286
73,2021-07-16,546.1428571428571
74,2021-07-23,522.0
75,2021-07-30,473.7142857142857
76,2021-08-06,656.7142857142857
77,2021-08-13,1044.857142857143
78,2021-08-20,1271.857142857143
79,2021-08-27,787.5714285714286
80,2021-09-03,286.0
81,2021-09-10,277.7142857142857
82,2021-09-17,846.5714285714286
83,2021-09-24,-146.0
84,2021-10-01,-517.2857142857143
85,2021-10-08,-1423.2857142857142
86,2021-10-15,-1795.7142857142858
87,2021-10-22,-1736.2857142857142
88,2021-10-29,-1988.7142857142858
89,2021-11-05,-2087.714285714286
90,2021-11-12,-2006.857142857143
91,2021-11-19,-1689.857142857143
92,2021-11-26,-1725.5714285714287
93,2021-12-03,-2566.4285714285716
94,2021-12-10,-1883.0
95,2021-12-17,-1447.5714285714287
96,2021-12-24,-1183.2857142857142
97,2021-12-31,-3742.0
98,2022-01-07,-2735.0
99,2022-01-14,-2415.1428571428573
100,2022-01-21,-2254.1428571428573
101,2022-01-28,-3131.1428571428573
102,2022-02-04,-2719.4285714285716
103,2022-02-11,-2198.1428571428573
104,2022-02-18,-1508.7142857142858
105,2022-02-25,-1754.0
106,2022-03-04,-2199.8571428571427
107,2022-03-11,-2352.5714285714284
108,2022-03-18,-2178.8571428571427
109,2022-03-25,-1947.142857142857
110,2022-04-01,-1905.857142857143
111,2022-04-08,-1906.5714285714287
112,2022-04-15,-1240.2857142857142
113,2022-04-22,-1460.0
114,2022-04-29,-2367.285714285714
115,2022-05-06,-759.5714285714286
116,2022-05-13,-751.0
117,2022-05-20,-622.8571428571429
118,2022-05-27,-693.4285714285714
119,2022-06-03,-1020.5714285714286
120,2022-06-10,-660.2857142857143
121,2022-06-17,-979.2857142857143
122,2022-06-24,-649.5714285714286
123,2022-07-01,-796.4285714285714
