,date_time_for_mobility,average_mobility_7
0,2020-02-21,-15.285714285714286
1,2020-02-28,-13.714285714285714
2,2020-03-06,-12.142857142857142
3,2020-03-13,-13.142857142857142
4,2020-03-20,-17.714285714285715
5,2020-03-27,-25.428571428571427
6,2020-04-03,-32.42857142857143
7,2020-04-10,-51.857142857142854
8,2020-04-17,-66.28571428571429
9,2020-04-24,-68.85714285714286
10,2020-05-01,-70.14285714285714
11,2020-05-08,-67.85714285714286
12,2020-05-15,-64.71428571428571
13,2020-05-22,-63.57142857142857
14,2020-05-29,-64.0
15,2020-06-05,-56.285714285714285
16,2020-06-12,-53.714285714285715
17,2020-06-19,-51.714285714285715
18,2020-06-26,-40.0
19,2020-07-03,-36.857142857142854
20,2020-07-10,-38.42857142857143
21,2020-07-17,-36.714285714285715
22,2020-07-24,-36.57142857142857
23,2020-07-31,-35.42857142857143
24,2020-08-07,-33.42857142857143
25,2020-08-14,-33.714285714285715
26,2020-08-21,-32.714285714285715
27,2020-08-28,-32.142857142857146
28,2020-09-04,-31.142857142857142
29,2020-09-11,-33.0
30,2020-09-18,-31.714285714285715
31,2020-09-25,-30.0
32,2020-10-02,-29.0
33,2020-10-09,-28.285714285714285
34,2020-10-16,-27.857142857142858
35,2020-10-23,-27.714285714285715
36,2020-10-30,-26.714285714285715
37,2020-11-06,-27.0
38,2020-11-13,-26.571428571428573
39,2020-11-20,-28.714285714285715
40,2020-11-27,-27.571428571428573
41,2020-12-04,-26.142857142857142
42,2020-12-11,-25.428571428571427
43,2020-12-18,-24.857142857142858
44,2020-12-25,-24.571428571428573
45,2021-01-01,-27.142857142857142
46,2021-01-08,-25.571428571428573
47,2021-01-15,-24.571428571428573
48,2021-01-22,-23.714285714285715
49,2021-01-29,-23.857142857142858
50,2021-02-05,-22.714285714285715
51,2021-02-12,-25.571428571428573
52,2021-02-19,-26.0
53,2021-02-26,-21.142857142857142
54,2021-03-05,-20.428571428571427
55,2021-03-12,-20.428571428571427
56,2021-03-19,-20.571428571428573
57,2021-03-26,-19.714285714285715
58,2021-04-02,-19.285714285714285
59,2021-04-09,-18.571428571428573
60,2021-04-16,-17.857142857142858
61,2021-04-23,-18.428571428571427
62,2021-04-30,-17.285714285714285
63,2021-05-07,-20.285714285714285
64,2021-05-14,-23.714285714285715
65,2021-05-21,-37.0
66,2021-05-28,-43.714285714285715
67,2021-06-04,-40.285714285714285
68,2021-06-11,-38.57142857142857
69,2021-06-18,-37.142857142857146
70,2021-06-25,-34.285714285714285
71,2021-07-02,-29.0
72,2021-07-09,-26.285714285714285
73,2021-07-16,-24.857142857142858
74,2021-07-23,-30.571428571428573
75,2021-07-30,-33.57142857142857
76,2021-08-06,-32.285714285714285
77,2021-08-13,-33.285714285714285
78,2021-08-20,-27.571428571428573
79,2021-08-27,-25.0
80,2021-09-03,-24.0
81,2021-09-10,-25.857142857142858
82,2021-09-17,-25.857142857142858
83,2021-09-24,-27.714285714285715
84,2021-10-01,-32.57142857142857
85,2021-10-08,-33.714285714285715
86,2021-10-15,-32.714285714285715
87,2021-10-22,-31.857142857142858
88,2021-10-29,-30.428571428571427
89,2021-11-05,-31.285714285714285
90,2021-11-12,-30.142857142857142
91,2021-11-19,-28.714285714285715
92,2021-11-26,-27.571428571428573
93,2021-12-03,-24.285714285714285
94,2021-12-10,-23.428571428571427
95,2021-12-17,-21.714285714285715
96,2021-12-24,-20.571428571428573
97,2021-12-31,-23.142857142857142
98,2022-01-07,-22.714285714285715
99,2022-01-14,-18.285714285714285
100,2022-01-21,-19.142857142857142
101,2022-01-28,-19.714285714285715
102,2022-02-04,-29.714285714285715
103,2022-02-11,-24.428571428571427
104,2022-02-18,-23.714285714285715
105,2022-02-25,-26.0
106,2022-03-04,-26.0
107,2022-03-11,-27.0
108,2022-03-18,-27.571428571428573
109,2022-03-25,-25.714285714285715
110,2022-04-01,-23.285714285714285
111,2022-04-08,-22.571428571428573
112,2022-04-15,-20.857142857142858
113,2022-04-22,-20.0
114,2022-04-29,-16.285714285714285
115,2022-05-06,-19.857142857142858
116,2022-05-13,-15.285714285714286
117,2022-05-20,-17.857142857142858
118,2022-05-27,-15.571428571428571
119,2022-06-03,-15.285714285714286
120,2022-06-10,-15.285714285714286
121,2022-06-17,-15.857142857142858
122,2022-06-24,-15.714285714285714
123,2022-07-01,-13.0
