Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,1,1,0,0
2020-01-25,2,3,0,0
2020-01-26,1,4,0,0
2020-01-27,0,4,0,0
2020-01-28,1,5,0,0
2020-01-29,2,7,0,0
2020-01-30,3,10,0,0
2020-01-31,3,13,0,0
2020-02-01,3,16,0,0
2020-02-02,2,18,0,0
2020-02-03,0,18,0,0
2020-02-04,0,18,0,0
2020-02-05,6,24,0,0
2020-02-06,4,28,0,0
2020-02-07,2,30,0,0
2020-02-08,3,33,0,0
2020-02-09,7,40,0,0
2020-02-10,3,43,0,0
2020-02-11,2,45,0,0
2020-02-12,2,47,0,0
2020-02-13,3,50,0,0
2020-02-14,8,58,0,0
2020-02-15,9,67,0,0
2020-02-16,5,72,0,0
2020-02-17,3,75,0,0
2020-02-18,2,77,0,0
2020-02-19,4,81,0,0
2020-02-20,3,84,0,0
2020-02-21,1,85,0,0
2020-02-22,1,86,0,0
2020-02-23,3,89,0,0
2020-02-24,0,89,0,0
2020-02-25,1,90,0,0
2020-02-26,1,91,0,0
2020-02-27,2,93,0,0
2020-02-28,3,96,0,0
2020-02-29,2,98,0,0
2020-03-01,4,102,0,0
2020-03-02,4,106,0,0
2020-03-03,2,108,0,0
2020-03-04,2,110,0,0
2020-03-05,2,112,0,0
2020-03-06,5,117,0,0
2020-03-07,13,130,0,0
2020-03-08,8,138,0,0
2020-03-09,12,150,0,0
2020-03-10,10,160,0,0
2020-03-11,6,166,0,0
2020-03-12,12,178,0,0
2020-03-13,9,187,0,0
2020-03-14,13,200,0,0
2020-03-15,12,212,0,0
2020-03-16,14,226,0,0
2020-03-17,17,243,0,0
2020-03-18,23,266,0,0
2020-03-19,47,313,0,0
2020-03-20,32,345,0,0
2020-03-21,40,385,2,2
2020-03-22,47,432,0,2
2020-03-23,23,455,0,2
2020-03-24,54,509,0,2
2020-03-25,49,558,0,2
2020-03-26,73,631,0,2
2020-03-27,52,683,0,2
2020-03-28,49,732,0,2
2020-03-29,70,802,0,2
2020-03-30,42,844,1,3
2020-03-31,35,879,0,3
2020-04-01,47,926,0,3
2020-04-02,74,1000,0,3
2020-04-03,49,1049,1,4
2020-04-04,65,1114,1,5
2020-04-05,75,1189,0,5
2020-04-06,120,1309,1,6
2020-04-07,66,1375,0,6
2020-04-08,106,1481,0,6
2020-04-09,142,1623,0,6
2020-04-10,287,1910,1,7
2020-04-11,198,2108,0,7
2020-04-12,191,2299,1,8
2020-04-13,233,2532,0,8
2020-04-14,386,2918,1,9
2020-04-15,334,3252,1,10
2020-04-16,447,3699,0,10
2020-04-17,728,4427,0,10
2020-04-18,623,5050,1,11
2020-04-19,942,5992,0,11
2020-04-20,596,6588,0,11
2020-04-21,1426,8014,0,11
2020-04-22,1111,9125,0,11
2020-04-23,1016,10141,1,12
2020-04-24,1037,11178,0,12
2020-04-25,897,12075,0,12
2020-04-26,618,12693,0,12
2020-04-27,931,13624,0,12
2020-04-28,799,14423,2,14
2020-04-29,528,14951,0,14
2020-04-30,690,15641,0,14
2020-05-01,528,16169,1,15
2020-05-02,932,17101,1,16
2020-05-03,447,17548,1,17
2020-05-04,657,18205,1,18
2020-05-05,573,18778,0,18
2020-05-06,632,19410,0,18
2020-05-07,788,20198,2,20
2020-05-08,741,20939,0,20
2020-05-09,768,21707,0,20
2020-05-10,753,22460,0,20
2020-05-11,876,23336,0,20
2020-05-12,451,23787,1,21
2020-05-13,884,24671,0,21
2020-05-14,675,25346,0,21
2020-05-15,752,26098,0,21
2020-05-16,793,26891,0,21
2020-05-17,465,27356,1,22
2020-05-18,682,28038,0,22
2020-05-19,305,28343,0,22
2020-05-20,451,28794,0,22
2020-05-21,570,29364,0,22
2020-05-22,448,29812,1,23
2020-05-23,614,30426,0,23
2020-05-24,642,31068,0,23
2020-05-25,548,31616,0,23
2020-05-26,344,31960,0,23
2020-05-27,383,32343,0,23
2020-05-28,533,32876,0,23
2020-05-29,373,33249,0,23
2020-05-30,611,33860,0,23
2020-05-31,506,34366,0,23
2020-06-01,518,34884,0,23
2020-06-02,408,35292,1,24
